date,amount,category,description,type
2026-04-01,6000,salary,Monthly salary - April,INCOME
2026-04-01,500,freelance,Freelance web project payment,INCOME
2026-04-02,1500,rent,Monthly apartment rent,EXPENSE
2026-04-03,200,utilities,Electricity and water bill,EXPENSE
2026-04-04,350,food,Weekly groceries - Big Bazaar,EXPENSE
2026-04-05,80,food,Zomato food delivery,EXPENSE
2026-04-06,45,food,Starbucks coffee,EXPENSE
2026-04-07,120,transport,Uber rides this week,EXPENSE
2026-04-08,50,transport,Monthly bus pass,EXPENSE
2026-04-09,250,entertainment,Netflix + Spotify + Cinema,EXPENSE
2026-04-10,90,healthcare,Pharmacy - medicines,EXPENSE
2026-04-11,400,shopping,New shoes and clothes,EXPENSE
2026-04-12,300,investments,SIP mutual fund deposit,EXPENSE
2026-04-13,150,food,Restaurant dinner with friends,EXPENSE
2026-04-14,60,transport,Petrol,EXPENSE
2026-04-15,200,entertainment,BookMyShow events,EXPENSE
2026-04-16,75,healthcare,Doctor consultation,EXPENSE
2026-04-17,180,food,Weekly groceries,EXPENSE
2026-04-18,100,utilities,Internet bill,EXPENSE
2026-04-19,500,shopping,Electronics purchase,EXPENSE
